image,category,label
ISIC_0026869,NV,0
ISIC_0015008_downsampled,NV,0
ISIC_0024406,NV,0
ISIC_0055034,NV,0
ISIC_0066565,NV,0
ISIC_0027520,NV,0
ISIC_0032721,NV,0
ISIC_0029717,NV,0
ISIC_0013269_downsampled,NV,0
ISIC_0010589,NV,0
ISIC_0031602,NV,0
ISIC_0057420,NV,0
ISIC_0028210,NV,0
ISIC_0063644,NV,0
ISIC_0027535,NV,0
ISIC_0033990,NV,0
ISIC_0033208,NV,0
ISIC_0033563,NV,0
ISIC_0026764,NV,0
ISIC_0057818,NV,0
ISIC_0031092,NV,0
ISIC_0030151,NV,0
ISIC_0034041,NV,0
ISIC_0026515,NV,0
ISIC_0031732,NV,0
ISIC_0032296,NV,0
ISIC_0060864,NV,0
ISIC_0027080,NV,0
ISIC_0030879,NV,0
ISIC_0011107,NV,0
ISIC_0057578,NV,0
ISIC_0012793_downsampled,NV,0
ISIC_0026097,NV,0
ISIC_0033121,NV,0
ISIC_0032793,NV,0
ISIC_0032986,NV,0
ISIC_0000071,NV,0
ISIC_0058057,NV,0
ISIC_0028883,NV,0
ISIC_0024717,NV,0
ISIC_0033623,NV,0
ISIC_0004115_downsampled,NV,0
ISIC_0056982,NV,0
ISIC_0027200,NV,0
ISIC_0063313,NV,0
ISIC_0027491,NV,0
ISIC_0033897,NV,0
ISIC_0059745,NV,0
ISIC_0056077,NV,0
ISIC_0031947,NV,0
ISIC_0012726_downsampled,NV,0
ISIC_0027921,NV,0
ISIC_0069339,NV,0
ISIC_0014081_downsampled,NV,0
ISIC_0015965_downsampled,NV,0
ISIC_0027322,NV,0
ISIC_0063963,NV,0
ISIC_0071650,NV,0
ISIC_0065493,NV,0
ISIC_0060768,NV,0
ISIC_0060042,NV,0
ISIC_0030633,NV,0
ISIC_0016055_downsampled,NV,0
ISIC_0013996_downsampled,NV,0
ISIC_0060358,NV,0
ISIC_0059407,NV,0
ISIC_0014754_downsampled,NV,0
ISIC_0000328,NV,0
ISIC_0027572,NV,0
ISIC_0033375,NV,0
ISIC_0033066,NV,0
ISIC_0056689,NV,0
ISIC_0025657,NV,0
ISIC_0059187,NV,0
ISIC_0028910,NV,0
ISIC_0033008,NV,0
ISIC_0029283,NV,0
ISIC_0030631,NV,0
ISIC_0032786,NV,0
ISIC_0058197,NV,0
ISIC_0026723,NV,0
ISIC_0027792,NV,0
ISIC_0067015,NV,0
ISIC_0071551,NV,0
ISIC_0056237,NV,0
ISIC_0057873,NV,0
ISIC_0064159,NV,0
ISIC_0033388,NV,0
ISIC_0066230,NV,0
ISIC_0060822,NV,0
ISIC_0065380,NV,0
ISIC_0071625,NV,0
ISIC_0062950,NV,0
ISIC_0056664,NV,0
ISIC_0054382,NV,0
ISIC_0000230,NV,0
ISIC_0028698,NV,0
ISIC_0001292_downsampled,NV,0
ISIC_0030347,NV,0
ISIC_0061675,NV,0
ISIC_0063092,NV,0
ISIC_0000319,NV,0
ISIC_0030274,NV,0
ISIC_0034149,NV,0
ISIC_0069142,NV,0
ISIC_0070075,NV,0
ISIC_0029011,NV,0
ISIC_0030290,NV,0
ISIC_0061005,NV,0
ISIC_0032483,NV,0
ISIC_0056468,NV,0
ISIC_0031604,NV,0
ISIC_0071516,NV,0
ISIC_0062444,NV,0
ISIC_0069780,NV,0
ISIC_0025641,NV,0
ISIC_0033978,NV,0
ISIC_0012228_downsampled,NV,0
ISIC_0014080_downsampled,NV,0
ISIC_0059239,NV,0
ISIC_0026513,NV,0
ISIC_0031781,NV,0
ISIC_0030448,NV,0
ISIC_0024658,NV,0
ISIC_0064882,NV,0
ISIC_0032056,NV,0
ISIC_0029131,NV,0
ISIC_0068594,NV,0
ISIC_0030219,NV,0
ISIC_0028205,NV,0
ISIC_0055664,NV,0
ISIC_0066604,NV,0
ISIC_0068712,NV,0
ISIC_0072214,NV,0
ISIC_0025653,NV,0
ISIC_0066853,NV,0
ISIC_0028430,NV,0
ISIC_0002780_downsampled,NV,0
ISIC_0066242,NV,0
ISIC_0010104,NV,0
ISIC_0031725,NV,0
ISIC_0057887,NV,0
ISIC_0071072,NV,0
ISIC_0033966,NV,0
ISIC_0061847,NV,0
ISIC_0000536,NV,0
ISIC_0066967,NV,0
ISIC_0062858,NV,0
ISIC_0029075,NV,0
ISIC_0032734,NV,0
ISIC_0027686,NV,0
ISIC_0066550,NV,0
ISIC_0026931,NV,0
ISIC_0067311,NV,0
ISIC_0027901,NV,0
ISIC_0000344,NV,0
ISIC_0014890_downsampled,NV,0
ISIC_0069007,NV,0
ISIC_0025171,NV,0
ISIC_0012656_downsampled,NV,0
ISIC_0061562,NV,0
ISIC_0026878,NV,0
ISIC_0031143,NV,0
ISIC_0065818,NV,0
ISIC_0027066,NV,0
ISIC_0068105,NV,0
ISIC_0030651,NV,0
ISIC_0024998,NV,0
ISIC_0032568,NV,0
ISIC_0031114,NV,0
ISIC_0072185,NV,0
ISIC_0015244_downsampled,NV,0
ISIC_0028963,NV,0
ISIC_0030214,NV,0
ISIC_0028222,NV,0
ISIC_0000116_downsampled,NV,0
ISIC_0034056,NV,0
ISIC_0029648,NV,0
ISIC_0000231,NV,0
ISIC_0031599,NV,0
ISIC_0028097,NV,0
ISIC_0033656,NV,0
ISIC_0033418,NV,0
ISIC_0069529,NV,0
ISIC_0015201_downsampled,NV,0
ISIC_0062898,NV,0
ISIC_0033692,NV,0
ISIC_0069374,NV,0
ISIC_0033555,NV,0
ISIC_0032148,NV,0
ISIC_0031444,NV,0
ISIC_0063639,NV,0
ISIC_0027000,NV,0
ISIC_0071107,NV,0
ISIC_0057964,NV,0
ISIC_0055278,NV,0
ISIC_0066873,NV,0
ISIC_0012149_downsampled,NV,0
ISIC_0032935,NV,0
ISIC_0065645,NV,0
ISIC_0027085,NV,0
ISIC_0029673,NV,0
ISIC_0059906,NV,0
ISIC_0011204,NV,0
ISIC_0028478,NV,0
ISIC_0027389,NV,0
ISIC_0031768,NV,0
ISIC_0063214,NV,0
ISIC_0026756,NV,0
ISIC_0032375,NV,0
ISIC_0026093,NV,0
ISIC_0027534,NV,0
ISIC_0033318,NV,0
ISIC_0058603,NV,0
ISIC_0012109_downsampled,NV,0
ISIC_0064084,NV,0
ISIC_0070818,NV,0
ISIC_0013804_downsampled,NV,0
ISIC_0032765,NV,0
ISIC_0027633,NV,0
ISIC_0033517,NV,0
ISIC_0024419,NV,0
ISIC_0024512,NV,0
ISIC_0027720,NV,0
ISIC_0012406_downsampled,NV,0
ISIC_0026038,NV,0
ISIC_0062128,NV,0
ISIC_0012311_downsampled,NV,0
ISIC_0026680,NV,0
ISIC_0001852_downsampled,NV,0
ISIC_0028967,NV,0
ISIC_0057940,NV,0
ISIC_0033614,NV,0
ISIC_0026079,NV,0
ISIC_0057797,NV,0
ISIC_0031916,NV,0
ISIC_0029324,NV,0
ISIC_0025588,NV,0
ISIC_0030679,NV,0
ISIC_0029257,NV,0
ISIC_0029284,NV,0
ISIC_0070336,NV,0
ISIC_0059536,NV,0
ISIC_0031625,NV,0
ISIC_0025174,NV,0
ISIC_0069505,NV,0
ISIC_0062656,NV,0
ISIC_0025821,NV,0
ISIC_0026419,NV,0
ISIC_0065795,NV,0
ISIC_0028111,NV,0
ISIC_0029024,NV,0
ISIC_0032073,NV,0
ISIC_0029685,NV,0
ISIC_0059639,NV,0
ISIC_0030111,NV,0
ISIC_0064071,NV,0
ISIC_0027732,NV,0
ISIC_0032814,NV,0
ISIC_0058530,NV,0
ISIC_0056846,NV,0
ISIC_0030519,NV,0
ISIC_0030313,NV,0
ISIC_0055420,NV,0
ISIC_0011101,NV,0
ISIC_0000442_downsampled,NV,0
ISIC_0060694,NV,0
ISIC_0033343,NV,0
ISIC_0034043,NV,0
ISIC_0065353,NV,0
ISIC_0014511_downsampled,NV,0
ISIC_0064727,NV,0
ISIC_0001871_downsampled,NV,0
ISIC_0029119,NV,0
ISIC_0060772,NV,0
ISIC_0034194,NV,0
ISIC_0025438,NV,0
ISIC_0024476,NV,0
ISIC_0028234,NV,0
ISIC_0072802,NV,0
ISIC_0024334,NV,0
ISIC_0066797,NV,0
ISIC_0057340,NV,0
ISIC_0034227,NV,0
ISIC_0069512,NV,0
ISIC_0073072,NV,0
ISIC_0027918,NV,0
ISIC_0009936,NV,0
ISIC_0027974,NV,0
ISIC_0027180,NV,0
ISIC_0032210,NV,0
ISIC_0067424,NV,0
ISIC_0028528,NV,0
ISIC_0015003_downsampled,NV,0
ISIC_0025134,NV,0
ISIC_0058529,NV,0
ISIC_0071898,NV,0
ISIC_0031497,NV,0
ISIC_0053652,NV,0
ISIC_0057184,NV,0
ISIC_0013494_downsampled,NV,0
ISIC_0031963,NV,0
ISIC_0014365_downsampled,NV,0
ISIC_0031466,NV,0
ISIC_0025022,NV,0
ISIC_0058874,NV,0
ISIC_0065294,NV,0
ISIC_0030045,NV,0
ISIC_0015208_downsampled,NV,0
ISIC_0062677,NV,0
ISIC_0056165,NV,0
ISIC_0026387,NV,0
ISIC_0031247,NV,0
ISIC_0033698,NV,0
ISIC_0068225,NV,0
ISIC_0024350,NV,0
ISIC_0013432_downsampled,NV,0
ISIC_0034136,NV,0
ISIC_0029796,NV,0
ISIC_0013802_downsampled,NV,0
ISIC_0030478,NV,0
ISIC_0065273,NV,0
ISIC_0060240,NV,0
ISIC_0057396,NV,0
ISIC_0032472,NV,0
ISIC_0011360,NV,0
ISIC_0057259,NV,0
ISIC_0000384_downsampled,NV,0
ISIC_0009925,NV,0
ISIC_0058338,NV,0
ISIC_0058493,NV,0
ISIC_0000134_downsampled,NV,0
ISIC_0028145,NV,0
ISIC_0026630,NV,0
ISIC_0068470,NV,0
ISIC_0028905,NV,0
ISIC_0032255,NV,0
ISIC_0025679,NV,0
ISIC_0010244,NV,0
ISIC_0026883,NV,0
ISIC_0071486,NV,0
ISIC_0032033,NV,0
ISIC_0033757,NV,0
ISIC_0053521,NV,0
ISIC_0026953,NV,0
ISIC_0015537_downsampled,NV,0
ISIC_0013010_downsampled,NV,0
ISIC_0028006,NV,0
ISIC_0028616,NV,0
ISIC_0027628,NV,0
ISIC_0029296,NV,0
ISIC_0027554,NV,0
ISIC_0027511,NV,0
ISIC_0032281,NV,0
ISIC_0061014,NV,0
ISIC_0031357,NV,0
ISIC_0032368,NV,0
ISIC_0029492,NV,0
ISIC_0025158,NV,0
ISIC_0031157,NV,0
ISIC_0031849,NV,0
ISIC_0026078,NV,0
ISIC_0024438,NV,0
ISIC_0011300,NV,0
ISIC_0025660,NV,0
ISIC_0026898,NV,0
ISIC_0060106,NV,0
ISIC_0014854_downsampled,NV,0
ISIC_0027264,NV,0
ISIC_0024687,NV,0
ISIC_0058470,NV,0
ISIC_0063211,NV,0
ISIC_0027034,NV,0
ISIC_0000453_downsampled,NV,0
ISIC_0027456,NV,0
ISIC_0058633,NV,0
ISIC_0054652,NV,0
ISIC_0031617,NV,0
ISIC_0057489,NV,0
ISIC_0069078,NV,0
ISIC_0059214,NV,0
ISIC_0000476,NV,0
ISIC_0015416_downsampled,NV,0
ISIC_0029223,NV,0
ISIC_0066617,NV,0
ISIC_0025020,NV,0
ISIC_0057277,NV,0
ISIC_0015386_downsampled,NV,0
ISIC_0025181,NV,0
ISIC_0025385,NV,0
ISIC_0029723,NV,0
ISIC_0025185,NV,0
ISIC_0033163,NV,0
ISIC_0032729,NV,0
ISIC_0065881,NV,0
ISIC_0070698,NV,0
ISIC_0031035,NV,0
ISIC_0033548,NV,0
ISIC_0016050_downsampled,NV,0
ISIC_0067342,NV,0
ISIC_0029734,NV,0
ISIC_0009991,NV,0
ISIC_0013772_downsampled,NV,0
ISIC_0014830_downsampled,NV,0
ISIC_0011127,NV,0
ISIC_0000258,NV,0
ISIC_0024528,NV,0
ISIC_0033927,NV,0
ISIC_0028908,NV,0
ISIC_0026719,NV,0
ISIC_0060156,NV,0
ISIC_0029773,NV,0
ISIC_0061734,NV,0
ISIC_0056743,NV,0
ISIC_0025168,NV,0
ISIC_0030248,NV,0
ISIC_0014821_downsampled,NV,0
ISIC_0013128_downsampled,NV,0
ISIC_0026672,NV,0
ISIC_0059047,NV,0
ISIC_0071022,NV,0
ISIC_0030736,NV,0
ISIC_0028025,NV,0
ISIC_0030004,NV,0
ISIC_0071432,NV,0
ISIC_0061488,NV,0
ISIC_0024914,NV,0
ISIC_0030085,NV,0
ISIC_0028637,NV,0
ISIC_0025846,NV,0
ISIC_0010018,NV,0
ISIC_0025246,NV,0
ISIC_0015034_downsampled,NV,0
ISIC_0062647,NV,0
ISIC_0007235_downsampled,NV,0
ISIC_0031525,NV,0
ISIC_0072668,NV,0
ISIC_0015526_downsampled,NV,0
ISIC_0014915_downsampled,NV,0
ISIC_0034312,NV,0
ISIC_0024716,NV,0
ISIC_0014046_downsampled,NV,0
ISIC_0002829_downsampled,NV,0
ISIC_0030224,NV,0
ISIC_0028527,NV,0
ISIC_0034009,NV,0
ISIC_0070142,NV,0
ISIC_0065258,NV,0
ISIC_0031433,NV,0
ISIC_0010565,NV,0
ISIC_0031658,NV,0
ISIC_0062500,NV,0
ISIC_0030066,NV,0
ISIC_0028946,NV,0
ISIC_0032747,NV,0
ISIC_0028722,NV,0
ISIC_0054565,NV,0
ISIC_0027993,NV,0
ISIC_0012837_downsampled,NV,0
ISIC_0012539_downsampled,NV,0
ISIC_0028848,NV,0
ISIC_0058533,NV,0
ISIC_0032399,NV,0
ISIC_0032663,NV,0
ISIC_0065254,NV,0
ISIC_0058747,NV,0
ISIC_0060668,NV,0
